pre_text,airline_sentiment
bromea aeropuerto nombre cr homenaje burla # m,neutral
#semana m puto vuelo cancelan,negative
pare mundo bajo version mejorada :face_with_tears_of_joy: :raised_back_of_hand: :medium-light_skin_tone:,neutral
#viral pasajero enfadado sale puerta emergencia avion cansado esperar intento b,neutral
pueden ayudarme maleta perdida favor no hacen buscarla telefono reclamacion,negative
llega primer #duelodemarcas marketingdirecto vs easyjet cual ganara,neutral
opcion puede hacer mediante tarjeta credito debito llamando numero facilitaron,neutral
doy rt parece cuarta exigan rt hacer,negative
suerte ser unicos practicamente volais melilla maleta llegado dias tarde,negative
gracias,neutral
grande #supergex,positive
mejor presentacion visto vuelos realizada hoy ib x comandante f sanz felicidades,positive
no no hecho solo hecho pregunta explicado mensaje,neutral
asinomas pilotos amenazan nuevas protestas europa :play_button: ️,negative
resulta dificil creer tipo babia respecto diseño cia ejecutado,neutral
puente aereo am aqui seguimos enganchados finger pueden hacer trabajo vol,negative
volado cn compañia experiencia unica xasus pasajeros l recomiendo xa qtomen note empi,negative
noviembre envie documentos mail confirme recibidos,neutral
canal smithsonian reconstruye video accidente aereo spanair barajas mortifero españa,positive
peor asunto q miente dia dicen q llego londres q todavia madrid crei q confiables,negative
representante anuncia llegada #nicaragua reunion representantes gobierno secto,neutral
viajar seria aerolinea cualquiera si no plastas ventas bordo altavoz taco,negative
llego santo domingo espero mas hora maletas resulta escala,negative
primero año #london,neutral
busca convertirse amazon viajes oficinas madrid,neutral
trabajadores tierra no iran huelga diciembre,neutral
si siguen mirando historial contacte hace meses preguntando robaron nunca contestarona,negative
plus cumple años queremos celebrarlo contigo manera especial elige numero favorito,positive
no contrateis dan servicio atencion cliente pesimo,neutral
retrasa enero cambio politica equipaje mano,negative
aqui seguimos seguimos esperando va manifestarse alguien,negative
rt favor pasajeros demora devolucion dinero jodamoslos retuiteemos compartam,negative
hola puedo transportar nutella equipaje viajo gracias,neutral
hola hacer c in app manda email tarjeta formato wallet pass no pass book par,neutral
#aerolineaslowcost no llegando demasiado lejos :zany_face: :zany_face: :zany_face:,negative
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,neutral
personal tierra españa convoca huelga diciembre,negative
podeis creer pago vuelo sentarme unico asiento roto,negative
plus cumple años queremos celebrarlo contigo manera especial elige numero favorito,positive
impresionante mierda puede ser veces viajar cojo avion tiempo reserva asiento ll,negative
creo dejaron queriendo dueños metan culo merecer merecen da,negative
pilotos desconvocan huelga tras ver reconocidos sindicatos,neutral
expandira verano frecuencia vuelos #puertorico,positive
septiembre inaugura linea aerea madrid barcelona felices años volando mas,negative
rt favor pasajeros demora devolucion dinero jodamoslos retuiteemos compartam,negative
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,neutral
chrome ultimas versiones firefox safari mac web principal no inicia sesion despues,negative
si no responden demandao level peor porqueria no hace cargo,negative
hola puedo sumar km vuelos pagina no permite adresse pendientes,neutral
no puedo viajar vuelta avisando no puedo volar ida alguna solucion genera cero perjuicios gracias,negative
asi agradece tripulantes vuelen dia navidad alejados familias triste paquetito,negative
analizara consell ayudas firmas preve crecer valencia via,positive
loginewses lanza nueva ruta managua octubre,negative
hola justo corte vuelos barcelona mmmm,negative
gracias maravillosa organizacion media hora espera maletas aqui segu,negative
comun jamas elegir viaje,negative
verdad sinverguenzas timadores caraduras no gana nadie,negative
reconocera sindicatos pilotos interlocutores,positive
felicito jose,positive
facil solucion pagas vuela compañia m,positive
asi proximidad teclado eh,negative
si animalistas hariais no rt pasajeros vuelo,negative
hoy comunican dos tarde no opcion no volar dia mañana,negative
criticamos luego volamos low cost dudo piloto tripulacion,neutral
lufthansa arrebata liderazgo pasajeros europa,neutral
si si verdad #megustavolar #megustavolariberia,positive
pues respuesta lavais manos cliente den iberi,negative
hecho tres veces enviando correo direccion indicada oexvy nunca obtuve resp,negative
pregunto si alguien air canada buscando maleta tranquilamente preparandose nochevieja,negative
queria saber si verdad ib hace escala sdq llegar ccs compre,neutral
vuelo madrid viernes h sale ida vuelta,neutral
llamen cgt cualquiera,negative
veces pasado incluso reservar agencia logitravel cancelaron viaje no podian coger tarifa,negative
tarda menos dos horas amargar oferta aniversario express,positive
dan ideas volaris vivaaerobus calafia,negative
señores intenten entender motivo reclamacion emitir respuestas estandar no debo pagar,negative
#marketing llega primer #duelodemarcas marketingdirecto vs easyjet nuevo año nuevos proyectos,neutral
ahora ademas sacado movida level asi igual,neutral
matriz british airways quiere subirse bordo aerolinea niki,neutral
q servicio esencial ahora adelante cualquier paro calificado asi acabo derec,negative
espero resuelva tema cuanto gracias,negative
no puedo volver asientos gratis parece lleno avion ibamos coger no est,negative
#holaargentina quiero viajar,neutral
tampoco cuenta asignarte asiento preferencias viajero,negative
pues momento siguen aparecer articulos necesito asi si mañana no se buscare car,negative
podium podcast alian ficcion sonora aerolinea momentos,neutral
asi accidente vuelo spanair letal españa decadas video,negative
propio montaje jajajajaj,neutral
#fraude denuncian fraude ley casa,negative
dato canteranos pasaron mal jugaron cobresal copa chile debe venir,neutral
avios cara cemento armado,negative
busca convertirse amazon viajes oficinas madrid inaugurado,positive
parece mal q servicio atencion cliente respeto reclamaciones gestionando tan lent,negative
call center no atiende nadie canse llamar necesito q contacten conmigo solucionar problema,negative
primer #duelodemarcas vs easyjet via,negative
pues reclame daño equipaje no hicieron caso no rellenar formula,negative
dias darte respuesta dinero no deberian haberte quitado cobrar,negative
hola problema tecnicos ocurre,negative
retraso hora stanstead novio no llega conexion,negative
cansado esperar pasajero sale sienta ala avion,negative
no unas galletas palencia acompañar #aguilardecampoo,positive
regalando billetes avion pasa historias intagram billetes,neutral
gente obesa no hace dieta salvarse vida obviamente no haran pasajeros,positive
fin semana no pasa :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes: # aniversarioiberia,neutral
hombre desespera escapa avion puerta emergencia,negative
vuelo asturias madrid no dejan subir equiaje mano viajeros madrid #ocu #felizjueves #sinverguenzas,negative
nueva ruta copenhague volar sevilla marzo,positive
toca volar #otgala,negative
famoso desastres #servicioalcliente caso hizo perder importante conferencia can,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
super utile :smiling_face_with_smiling_eyes: #viaggiare #meetworld,positive
despues minutos espera digan no soluciona problema no precio,negative
si super puntual :rolling_on_the_floor_laughing: :face_with_rolling_eyes:,positive
vuelos semanales san juan madrid,positive
quieres envie mensaje directo intentando comprar billetes llevo horas esperando respue,negative
vuelo madrid londres gracias,neutral
recibe nuevo avion a bautiza santo domingo,neutral
asi accidente vuelo spanair letal españa decadas video,negative
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,positive
rt favor pasajeros demora devolucion dinero jodamoslos retuiteem,negative
oleada huelgas #navidades,negative
feliz año nuevo,positive
acuerdo debian tener calculo co,neutral
tarifa low cost supuesto,neutral
funciona tema equipaje perdido sorprende prioridad caso no sirva na,negative
mejores ofertas empleo it españa endesa mercadona,negative
muchas felicidades :birthday_cake: seguir volando alto :party_popper:,positive
verguenza hacer check in online pais destino xq web no funciona gracias x corregir,negative
maravillosa aventura viajar avion bici capitulo,negative
no conforma solo vuelos,neutral
plus cumple años queremos celebrarlo contigo manera especial elige numero favorito,positive
asi accidente vuelo spanair letal españa decadas #video,negative
sacar ofertas vuelos no poner nunca malaga aeropuerto salida si poblachos valladolid vigo risa,neutral
hola cambiado fecha billete principio problema nuevos billetes c,neutral
duda exceptuando personas mayores gente hijos pequeños gente paga priority hablando,neutral
minutos nuevo espera,negative
#tipicodenavidad perdio maleta hace dias no saben donde medicamentos no,negative
amazon google alibaba seur ponentes destacados eshow,neutral
siempre viaje ahora profundo dolor no puedo viajar españa altos costos pasaje tragico desamparo,negative
conseguire hazaña volar tenerife sur encontrarme nadie,positive
no vacilar toda pinta ser vueling :face_with_tears_of_joy:,negative
asi accidente vuelo spanair letal españa decadas #video,negative
ayudanos recuperar equipaje olvidaron madrid no dado mayor informacion,negative
polemica servida,negative
buen dia seguimos esperando devuelvan valija perdieron sabado vuelo ib recuerdos viaje,negative
madrid #travelthursday,neutral
marca bajo costo llegara colombia despues,neutral
podian dar comerciales q venden distintos puntos venta iban,negative
vuelos regulares ejem regulares ejem ryr buena aceptacion po,negative
va ser mismo año viene aviones gastan combustible,negative
stop calefaccion infierno :fire: :fire: :fire:,negative
att cliente favor eficacia merci,negative
tarda menos dos horas amargar oferta aniversario express via,positive
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,positive
pues parece sigue comprando aviones ahora nuevisimo,positive
ademas aqui no mostrador nadie ayude pueda dar idea q,negative
q tal queria saber si comprar billete clase turista luego puedo pasarlo bussines,neutral
entonces #españa 🇪🇸 distancias comenzaron medirse tiempo no kilometros felicidades,neutral
estacionado hace casi años barajas md ec fof ex volvera volar,negative
oficina aeropuerto madrid barajas algun horario concreto abierto h g,neutral
segun director general toshiba compañia terminara año unidades vendidas,neutral
pollo alquilaste murillo puente chicharrones,neutral
gente podran ayudar no puedo hace dias comprar equip,negative
escuchando jimenez losantos entero abre nuevo vuelo madrid s francisco perfecto traer cineastas vanguardia,positive
quien puede reclamar retraso pensado ir ventanilla #duiarv,negative
felices fiestas equipo,neutral
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,negative
manda narices obliguen meter maleta bodega ahora subiendo maletas,negative
#felizmartes trae #madrid #gratis,positive
se pronto fastidia alguien ande corrigiendo bonito,negative
hola necesito ayuda cambio fecha pasaje :weary_face: :weary_face:,neutral
oye aerolinea buenas interjet mexicana extranjera,negative
no solo colombia amenazas huelgas expanden europa,negative
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,positive
repario debo ir east or west https t co vgozlsgfw,neutral
aqui aeropuerto santiago compostela dentro avion sensor q falla poder vol,negative
juntado oferta alsa ahora decidir si quiero ir madrid resto mundo,negative
hola cambie fechas funciono gracias,positive
puesto reclamaciones umwdl v ivav vfz hw devuelvan dinero asientos,negative
apuntala rutas reino unido brexit licencia #politica #ibex #ultimahora,neutral
espero luego,neutral
pobre pablo viajo :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing: :rolling_on_the_floor_laughing:,neutral
ruta nrt pueden ver cosas interesantes ademas soyuz,positive
mismo vuelo emde peerdieron valijas pierden valijas diarui no devuelven,negative
cosa no puedas disponer plazas juntas falta espacio distinta jacerlo simplement,negative
favor dejad ofrecer puente aereo servicio lamentable asignan asient,negative
sevilla :woman_dancing: y ole,neutral
rt robertohermida ultimallamada tiran,negative
sms solo confirmado dos entregas si llegado mensaje,negative
sindicatos barcelona mantienen huelga jueves domingo,neutral
hicieron mismo perdieron,negative
nueva hacer hacer campaña marketing posicionar marc,negative
funciona codigo qr imagen foto app no sale dicho codigo solo llego,negative
supuesto menos veintipico dias espera,negative
apuesta mercado argentino #aviacionaldia #vuelos #españa #argentina,positive
oye muchas gracias arruinar vacaciones familia vuelo overbooked,negative
si no sabeis organizar conexion vuelos podriais dedicaros cosa,negative
deja ponerme publico amiga no entiendes veo vuelos internes rayanair tope caros tia,negative
todas absurdo no cuidar clientes tener pequeños grandes detalles,negative
algun error pagina web escribir origen destino fechas vuelve cargar pagina i,negative
como cuida tripulacion :folded_hands: #trendingnow #nycgo #visitspain,positive
sorprendida tanta quejadera aerolineas avianca sido mej,positive
vuelos clase turista premium,positive
pues vaya vuelos criticos evitar volarlos entonces,negative
asi bajo pasajero harto esperar desembarcar via #hipertextual,negative
filial vueling q excelente experiencia dos viajes europa,positive
gracias hacerme esperar dos horas,negative
madre azafato :smiling_face_with_heart-eyes: :smiling_face_with_heart-eyes:,positive
express añade palermo mykonos destinos,positive
cancele vuelo milan,negative
decir niño clase desordenado quejan unico cumplido prom,positive
muchas gracias viendo,neutral
problema cree intocable evito ser posible elijo tra,negative
empresas nissan premiadas ceje ceoe,neutral
frio fuselaje #airbus #comeflywithme #fly #flying #upintheair #iberiaexpress,neutral
esperando q puto despegue porte debe,negative
no va quedar pie,negative
hace años unio madrid barcelona pesetas cuanto costaria hoy billete via,neutral
puta madre huelga partir diciembre oye cuatro meses pisar casa ver,negative
vamos viaje roma,positive
momento colombia,neutral
no sabeis volar montais,positive
air europa lanzan rebajas vuelos europa euros via,positive
solamente viajado sola vez viaje san juan puerto rico san,negative
consulta lista vuelos cancelados,neutral
primer vuelo hace años costaba mitad tarifas ayer asturias madrid,negative
si equipaje mano equipaje mano si no quiero facturar maleta no tener esperar,negative
sarna gusto no pica :grinning_squinting_face: :grinning_squinting_face: :grinning_squinting_face:,neutral
funcionado vanish viejo noble prueba,positive
azafatas tan serviciales teneis ven maleta no cabe compartimento maletas qu,negative
#aytalento #lasubcontrata #aitalento reconocera sindicatos pilotos evitar huelgas navidad,neutral
vuelos ib dec mad muc ib jan muc mad sinceras felicitaciones comandante eva dominguez,positive
flamante equipaje donado equipo llega destruido ecuador tristeza saber,negative
geneticamente pesima consiguieron empeorarla engendro level,negative
jurada ciclista ivan cortina pierde bici luego rompe #triatlon #entrenamiento,neutral
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,negative
black friday miro fechas sitios miro calendario examenes lloro,positive
harta viajar harta entiende todas experiencias volando sido,negative
ib retraso horas notificarme llegar aeropuerto solucion voucher,negative
gracias ser pocos mantener bestia aire,positive
calvin harris volando menudo raticate,neutral
inaugura nuevo espacio premium sentirte reina rey,positive
sepla entra busca convenio low cost españa via,neutral
amigos menudos impresentables despues dia volando vuelvo casa navidad perdeis malet,negative
hola ayer compre vuelos no recibido ningun correo confirmacion tan solo correo paypal justificant,neutral
puede dejar hacerme falsas ilusiones poniendo idas seis euros vueltas cien,negative
ok mensaje enviado,negative
ultima hora convocada huelga personal tierra proximo diciembre,negative
#holaargentina vamos x viaje si si,neutral
vamos asientos separados avion saca rata,negative
saben q q hacer oferta trabajo cosa q dispuest,negative
hola no puede ser q siempre q vamos filas delanteras encontremos hueco maleta lleno demas remedienlo,negative
atencion viajeros,neutral
mio encanta volar duerme vuelo aterrizar,neutral
gracias inutilidad volvere facebook tendre instagram mundo sepa inutiles,negative
oye domingo cojo avion :grinning_face_with_sweat: guardarme alguno no :face_with_tears_of_joy: :smiling_face_with_halo:,negative
ahora tio vuelito directo angeles cobran precio semen unicornio pura sangre,negative
recordatorio jamas voleis,negative
pilotos irlandeses desconvocan huelga diciembre,neutral
plus cumple años queremos celebrarlo contigo manera especial elige numero favorito,neutral
como posible sen web actualmente no acepte letra ñ tan usual español siempre ten,negative
siempre cumple gracias galgos rescatados viajaron paises donde,positive
bastante comun,neutral
cambio directivos ruiz sustituira partir febrero vera buzanello decidido emprender otr,neutral
mama no soporta bunbury escuchaba harto años despues llega casa,negative
#cosep vuelos podria ayudar enviar carga paises mayor facilidad economicos,neutral
van dias contando ninguna informacion equipaje compañeros no andan haciendo veo,negative
hola vuelos queriamos saber si tarjeta plus sirve acu,neutral
ver si enrollan mandan viajes gratis,negative
hola asiento a buena opcion,neutral
peor atencion telefonica dic intentando cambiar billete operadores,negative
estrena nueva ruta valencia palermo oferta billetes,positive
vergonzoso q no dejan subir maleta grupo embarcamos primeros no dan,negative
cogido vuelos va viajado lado charco veces ee uu canada ba,positive
asientos aviones cada vez pequeños estrategia ganar viajeros estudiando idea d,negative
alli semana viene mucha suerte participantes,neutral
aerolinea reconoce sindicatos evitar huelgas,neutral
#holaargentina encantaria conocerte,positive
asi accidente vuelo spanair letal españa decadas #video,negative
despues esperar minutos dentro bus transfer lado avion mientras subian maletas trasteaba,negative
vamos :smiling_face_with_sunglasses:,positive
casualidades vida viajera alguna dos maleta pequeña pu,neutral
turquia aviacion nueve compañias cancelan vuelos turquia descenso turismo,neutral
wallapop aun baratos regalaron vuelo :smiling_face_with_smiling_eyes:,negative
pues bruselas bien barato :person_shrugging: :light_skin_tone:,positive
:waving_hand: :medium_skin_tone: vuelo cancelado previo aviso mas h espera reclamacion semanas esperando respuesta to,negative
hola hoy presenciado cosa horrible señora años llevado silla ruedas puert,negative
sabre experiencia volado supuesto vuelas q,positive
vez tarde :face_with_rolling_eyes: ultimo,negative
entendemos paso menos,negative
si web no vas fiar,negative
norwegian lanza vuelos low cost madrid unidos competir aerolinea escandinava po,neutral
dia pille ida vuelta milan barato,positive
hola avios puede comprar ademas billete avion no veo uso,neutral
lindo tragico motivo navideño trompa boeing aerolinea irlandesa,negative
siempre quise tener maleta naranja volver locos azafatos minutos casquen p,neutral
pues vinoteca orientado sol matutino,neutral
plus cumple años queremos celebrarlo contigo manera especial elige numero favorito,negative
creo quiere felicitado navidad siete veces,negative
pregunto va busqueda parte lamaleta no pueden hacer #rubijarena,negative
gracias hacer vuelos toda tortura midan,neutral
alegro capitan orgullosa profesionales mando aviones,positive
van minutos adonde paso factura llamada,negative
como posible vuelo ib coruña madrid lleve overbooking sieeeempreeee,negative
pagado suplemento vienen señores casa hacen maleta,positive
personal tierra españa convoca huelga proximo dia diciembre via,neutral
d narnia k k habia no podemos pensar siempre k llevados taparabo,negative
acabo hacer compra vida locura promociones casi casi tame lan,negative
avion salia retraso vuelo quedamos tierra asi comunicasteis megafonia,negative
comentario escribe relatos octubre iv tripulacion mairenmairenmu claribel #,neutral
recortan vuelo ahora dias airnostrum,neutral
vamos ver si logra desembarcar argentina si va quiebra dos años,negative
ocurre #equipajesespeciales aterrizamos h aun esperando carrito,negative
algun ejemplo vuelos buscado no podido encontrar fech,neutral
siempre igual sector transporte viajeros insufrible,negative
algun dia podeis salir hora prevista digo efectos organizacion gente tal,negative
enganchando cualquier concurso regale pasajes :see-no-evil_monkey:,neutral
asi accidente vuelo spanair letal españa decadas video,neutral
regalando billetes gratis mundo despues cancelacion vuelos solicita,positive
comentario escribe relato noviembre i reina baile panameño gioanni ostia karla #re,neutral
ingresos crecen ultimo año ventas contaplus avanzan mientras,neutral
asi accidente vuelo spanair letal españa decadas video,negative
saludos buen provecho cierto factura pagara,neutral
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,positive
si mides avion no caben piernas suerte menos toco pasillo,negative
imposible hacer checkin via web minutos comunicarse persona imposible entender espa,negative
buenos dias vuelo caracas madrid diciembre boleto contempla todas tasas aeroportu,neutral
no nombre facturar padre hijo años dos billetes avion #palma #valencia sentar,negative
gracias retrasar vuelo dos horas hacer llegue tarde casa navidad :clapping_hands: :clapping_hands:,negative
mujer hija años web puso separados chico mostrador fuerte,positive
insoportable publicidad hola,negative
cancelar mil vuelos renunciaron pilotos causa malas condiciones laborales,negative
precio boleto premio consegui vuelo redondo aus roma puntos recuerda qu,positive
bautizara nuevo a#irbus #a nombre #santodomingo realiza #vuelos prueba,neutral
asi accidente vuelo spanair letal españa decadas video,negative
bueeee mientras no hagan alguna tripulacion q madrid pedir disculpas,negative
#ib cuando envias sms seguir horario com deberias poner web dia tiempo real,negative
hola cancelado vuelo madrid caracas hago,neutral
asi accidente vuelo spanair letal españa decadas #video,neutral
barometro #business cada reservas utiliza tarjeta frequent flyers compañia aerea,positive
abierta reclamacion demora menos trato empleadas sido problema fallo,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,positive
igual no llevo literalmente tres horas cafeteria chupando wifi poder sacar puta tarjeta embarque,negative
buenos aires madrid menor viaje sola reencontrarme mama cumpli años aire,neutral
no puedo hacer checking vuelo ib,neutral
mima espera lider supremo,negative
intentando estafar dicen solo reembolsan gastos adicionales debidos cambio vuelo,negative
#noticias #tecnologia inaugura centro innovacion digital tecnologia madrid,positive
uff jodido,negative
dejado sorprendido desear,neutral
señores dia mes ingresaron correspondiente refund reserva c,negative
provoca conflicto guinea españa resumo cancela ruta no rentable go,negative
nueva #tasa #iag solo afecta inicialmente dos compañias bandera,negative
buenas tardes cambiado legalmente nombre cambiado orden apellidos l,neutral
padre trabajaba :crying_face:,negative
pasa parecido ahora mismo oro asi no aporta saco menos avios eur,negative
mayor cantidad no dicho contrario saludos,positive
concepto hispania no exclusivo peninsula iberica caso n,neutral
buenos dias cancelado vuelo ib llegado mensaje no encuentro informacion gracias,neutral
manifestandome vivir,negative
batalla cielos lufthansa arrebata liderazgo pasajeros europa via,neutral
no puedo creer #vayatela,neutral
hijo porque pasa sale gratis hacer poner aviones grandes f,negative
kaisercillo conquista wesg via esports players,neutral
retrasen voy pego,negative
gracias rapidez atencion gestionar reclamacion dias soluciona,positive
olvido auriculares vuelo grx bio escribi mismo dia,neutral
imposible comunicarse uds oficinas aeropuerto ezeiza hermano llego ayer buenos aires proced,negative
igualmente buen año,positive
inglesa pues,negative
acuerdo espero digais gracias,neutral
logica deberia aplicar legislacion emt,negative
si presente ahora resulta debo presentar denuncia facturas robaron co,negative
aviones no se voy leer jueves,neutral
donde puedo tener informacion huelga planificada navidades alternativas,neutral
supuesto realice reclamacion mismo dia llegaron maletas cada l,negative
seccion representativa dentro sindicato pilotos nacional,positive
l,negative
vueling compañias vuelos retrasados aeropuertos españoles,negative
#padel mizuno celebra convencion apostando padel,neutral
escola europea congrega profesionales logistica españoles portugueses iberoamericanos primera edi,neutral
nueve compañias cancelan vuelos turquia descenso turismo,neutral
no no no puede facturar si pierde no hace cargo,negative
#holaargentina ver si suerte este año final vacaciones,positive
verdad billete dejo pasta engordar viajar,negative
vuelo praga estan obligando facturar todas maletas cabina inaceptable avisar antelacion,negative
no nadie alli no hizo cargo pasajeros vuelo aeroperto puso dormir,negative
plus cumple años queremos celebrarlo contigo manera especial elige numero favorito,positive
muchas gracias h retraso vigo :OK_hand:,negative
no pude comunicar problema check in online billetes paso coste min espera ser atendida,negative
verguenza cuenta no viajar despues cola princ,negative
amazon google alibaba seur ponentes destacados eshow #eshowmad,neutral
intentando contactar tel web tw no contestacion objeto perdido ib oct alguna solucion como puedo contactar,negative
servicio cliente telefonico terrible especulacion tickets deberia ser penado,negative
envie privado x reserva podran solucionarlo,negative
feliz año :sparkler: :party_popper:,neutral
origen vuelo turin avion airnostrum conocimiento,negative
dia hoy quien no vuela no quiere ofertas :face_screaming_in_fear: :face_screaming_in_fear:,neutral
afronta primera huelga pilotos historia,negative
pasajero cansado retraso esperar sale avion puerta emergencia :thinking_face:,negative
porq no responden,negative
semanas esperando respuesta reclamacion daño equipaje atencion cliente,negative
